id,created_at,value
0FVE7NZ9X1CP46C73WGNS6W6SR,2025-04-02T04:22:46Z,0
0FVE7NW5SZ2EHEC6W72BJG8KG1,2025-04-02T04:22:36Z,0
0FVE7NS3VM7JXB5ARJHDMYEXWX,2025-04-02T04:22:26Z,0
0FVE7NP0VVWZDFG2W8YQM0WZ65,2025-04-02T04:22:16Z,0
0FVE7NJXZ41CFGS6GWZSGBCBF8,2025-04-02T04:22:05Z,0
0FVE7NFTS104JNTZ03EK5CNN0T,2025-04-02T04:21:55Z,0
0FVE7NCQR4G6XHSQPZDQTJCP0Q,2025-04-02T04:21:45Z,0
0FVE7N9MQSVRVX4ASJ3GCJFPHN,2025-04-02T04:21:35Z,0
0FVE7N6HRRDNSBGP42W7RFM1RP,2025-04-02T04:21:25Z,0
0FVE7N3ESMHY965A652Q4CNTWE,2025-04-02T04:21:15Z,0
0FVE7N0BW6ESRC41XFD5B00T9H,2025-04-02T04:21:05Z,0
0FVE7MX8R80QVZ1Y9HBJ0D5DB5,2025-04-02T04:20:54Z,0
0FVE7MT5R9DRX885GQ2NY0M007,2025-04-02T04:20:44Z,0
0FVE7MQ3VW0C0Y32KM4D6DAMGY,2025-04-02T04:20:34Z,0
0FVE7MKZVP3EFPNZ98M2T8V2W7,2025-04-02T04:20:24Z,0
0FVE7MGWWMCARY93KY0N47MGF7,2025-04-02T04:20:14Z,0
0FVE7MDTRFK47EKH85YD399NY3,2025-04-02T04:20:04Z,0
0FVE7MAQRTF6G45DPMMZ04RZRF,2025-04-02T04:19:54Z,0
0FVE7M7MRAETHXS2BWEV4QZGSR,2025-04-02T04:19:44Z,0
0FVE7M4HQ1JP4ZVG1BFRV4XR2Y,2025-04-02T04:19:33Z,0
0FVE7M1EPECDPG7CHCJZZAAF80,2025-04-02T04:19:23Z,0
0FVE7KYC198W07J5N646V1F9EA,2025-04-02T04:19:13Z,0
0FVE7KV9PKPYF2220260MFAQDW,2025-04-02T04:19:03Z,0
0FVE7KR848HV69A32D8JGP7J3P,2025-04-02T04:18:53Z,0
0FVE7KN2RCBBYKJ1XKCHF4HW9A,2025-04-02T04:18:43Z,0
0FVE7KHZV9GSNYSH3KK301534M,2025-04-02T04:18:33Z,0
0FVE7KEX364T9Z9CNGD471APXD,2025-04-02T04:18:23Z,0
0FVE7KBT1F69FT12Q42AYWJ488,2025-04-02T04:18:12Z,0
0FVE7K8PPWAQT4TKVEENFYYJTD,2025-04-02T04:18:02Z,0
0FVE7K5MVVW186X3RZVK9CRZ7S,2025-04-02T04:17:52Z,0
0FVE7K2GT1P1P0C6F4FSQRVNCB,2025-04-02T04:17:42Z,0
0FVE7JZETDM8DXQG3JCTY824SD,2025-04-02T04:17:32Z,0
0FVE7JWBVN2PXNB7B12DXEY4DJ,2025-04-02T04:17:22Z,0
